"Species","Date","Sex","Wing","Culmen","Mass","lat","lon","dist_mau_loa","dist_kil","dist_hil","dist_wai","dist_kon","dist_hua","dist_mau_kea","dist_poh","dist_arm_res","shr_bin","mau_loa_bins","kil_bins","hua_bins","mau_kea_bins","Year"
"HAAM","25-Feb-20","M",65,13.5,12,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",65,15.4,13,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","F",62,11.9,12.9,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,13.7,11.8,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,14.6,12.2,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,14,12,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"IIWI","25-Feb-20","F",74,25.8,15.7,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","F",60,13.5,11.8,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",65,15.3,11.9,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",64,13.7,12.8,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",67,15.3,12,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,15.6,12.3,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"APAP","25-Feb-20","M",73,17.8,15,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",64,14,11.7,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",62,16,11.6,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",62,14.2,12,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,15.4,11.8,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,15,12.4,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","F",61,13.6,11.3,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",65,14.7,12.2,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",63,14.1,12.8,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",65,14.1,12.5,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",65,14.7,12,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",64,13.8,11.7,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","26-Feb-20","M",64,14.1,13,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","26-Feb-20","F",63,13.4,12.3,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"IIWI","25-Feb-20","M",77,28.2,19.4,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","9-Jul-20","M",62,13.8,12.7,19.7836258314908,-155.836421102551,41.614333487618,72.1929072868664,83.4814218802436,30.3743128416315,22.8239953716836,10.1051103526647,41.7488338023476,33.7578986879176,83.9321016977428,"middle","middle","far","near","middle",20
"HAEL","5-Nov-19","F",66,11.1,12.9,19.2521925880912,-155.818108193335,33.5355251851569,61.2710391486939,94.1158578058557,79.7432594376134,44.2654401319478,44.6989090026361,67.8852065641567,60.3539974754804,93.4365318581784,"middle","near","far","middle","far",19
"HAEL","5-Nov-19","M",75,13.2,14.5,19.2521925880912,-155.818108193335,33.5355251851569,61.2710391486939,94.1158578058557,79.7432594376134,44.2654401319478,44.6989090026361,67.8852065641567,60.3539974754804,93.4365318581784,"middle","near","far","middle","far",19
"HAEL","5-Nov-19","F",70,13.9,13,19.2521925880912,-155.818108193335,33.5355251851569,61.2710391486939,94.1158578058557,79.7432594376134,44.2654401319478,44.6989090026361,67.8852065641567,60.3539974754804,93.4365318581784,"middle","near","far","middle","far",19
"HAEL","5-Nov-19","M",73,12.9,16,19.2521925880912,-155.818108193335,33.5355251851569,61.2710391486939,94.1158578058557,79.7432594376134,44.2654401319478,44.6989090026361,67.8852065641567,60.3539974754804,93.4365318581784,"middle","near","far","middle","far",19
"HAAM","6-Nov-19","M",65,17.2,12.5,19.2521925880912,-155.818108193335,33.5355251851569,61.2710391486939,94.1158578058557,79.7432594376134,44.2654401319478,44.6989090026361,67.8852065641567,60.3539974754804,93.4365318581784,"middle","near","far","middle","far",19
"HAEL","7-Nov-19","M",77,14.2,14,19.2521925880912,-155.818108193335,33.5355251851569,61.2710391486939,94.1158578058557,79.7432594376134,44.2654401319478,44.6989090026361,67.8852065641567,60.3539974754804,93.4365318581784,"middle","near","far","middle","far",19
"HAAM","18-Mar-20","F",60,12.7,10.9,19.0975798352678,-155.808203344561,44.9235694873561,66.0520322974746,102.057783703629,94.9706971339863,59.1332000875432,60.4353199923028,80.5968243583594,73.7119996114664,101.138836436792,"near","middle","far","middle","far",20
"HAAM","19-Mar-20","F",61,14.5,14,19.0975798352678,-155.808203344561,44.9235694873561,66.0520322974746,102.057783703629,94.9706971339863,59.1332000875432,60.4353199923028,80.5968243583594,73.7119996114664,101.138836436792,"near","middle","far","middle","far",20
"HAAM","23-Jun-20","F",59,13.8,12.2,19.0975798352678,-155.808203344561,44.9235694873561,66.0520322974746,102.057783703629,94.9706971339863,59.1332000875432,60.4353199923028,80.5968243583594,73.7119996114664,101.138836436792,"near","middle","far","middle","far",20
"HAAM","26-Jun-19","M",62,13.5,11.5,19.0975798352678,-155.808203344561,44.9235694873561,66.0520322974746,102.057783703629,94.9706971339863,59.1332000875432,60.4353199923028,80.5968243583594,73.7119996114664,101.138836436792,"near","middle","far","middle","far",19
"HAAM","26-Mar-19","M",65,15.1,13.8,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","9-Jun-20","M",64,13.9,13.8,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"HAAM","26-Mar-19","M",63,14.7,12.2,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","26-Mar-19","M",73,18.7,13.9,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","26-Mar-19","M",77,18.4,15.1,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","26-Mar-19","F",71,17.7,15.2,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","26-Mar-19","M",64,15.4,12.4,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","9-Jun-20","M",64,15.1,12.4,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"APAP","26-Mar-19","M",76,17.4,15,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","26-Mar-19","M",65,15.5,13.9,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","26-Mar-19","M",66,15.4,12.3,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","27-Mar-19","M",66,15.4,12.3,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","M",74,18.6,14.7,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","27-Mar-19","M",65,14.3,13,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","27-Mar-19","F",63,12.9,13.4,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","M",70,18.1,14.8,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","27-Mar-19","F",65,14.3,13,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAAM","27-Mar-19","M",63,13.7,12.9,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"HAEL","9-Jun-20","M",74,12.6,17,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"HAAM","9-Jun-20","F",60,12.2,12,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"HAEL","9-Jun-20","F",79,12.9,14.6,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"IIWI","10-Jun-20","F",74,25.5,14.2,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"IIWI","10-Jun-20","F",72,26.1,17.8,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",20
"IIWI","26-Mar-19","M",78,28.8,18,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","26-Mar-19","M",78,17.1,14.6,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","F",65,17.4,13.5,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","M",72,17.6,14.1,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","F",65,17.8,12.9,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","M",76,17.8,14,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","27-Mar-19","M",76,17.7,14.9,19.3830200916576,-155.805235068503,25.2704157273289,57.8540494772426,86.8508709854179,66.4615871438382,33.7692380748777,31.7923907749918,56.6690568047889,48.6374618786035,86.3973965681432,"near","near","middle","near","middle",19
"APAP","12-Feb-20","M",71,17.1,16,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
"HAAM","12-Feb-20","M",68,15.3,15,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
"HAEL","12-Feb-20","F",68,11.7,13,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
"HAEL","12-Feb-20","M",72,13.4,15.5,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
"HAAM","12-Feb-20","F",63,14,14.5,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
"HAAM","12-Feb-20","M",62,15.9,13.7,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
"HAAM","12-Feb-20","M",62,15.9,14.5,20.0932749246673,-155.728243635468,64.8104606944226,85.2535335049825,80.5934109299621,9.89659624775499,54.6420968033172,43.7541355597499,42.440795680177,40.2851691913605,81.7382495438624,"near","far","far","middle","middle",20
